,name,LTE,year,weight,display_type,screen_size,ppi,cpu_ghz,ram,internal,camera,front_cam,blth_v,battery,price
11,Acer Liquid Z330,1,"2015, September",142 g (5.01 oz),"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~61.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Quad-core 1.1 GHz Cortex-A7,"8 GB, 1 GB RAM","8 GB, 1 GB RAM","5 MP, AF",5 MP,"4.0, A2DP",Removable Li-Ion 2000 mAh battery,About 110 EUR
12,Acer Liquid Z320,0,"2015, September",142 g (5.01 oz),"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~61.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Quad-core 1.0 GHz Cortex-A7,"8 GB, 1 GB RAM","8 GB, 1 GB RAM","5 MP, AF",2 MP,"4.0, A2DP",Removable Li-Po 2000 mAh battery,About 90 EUR
14,Acer Liquid Z630,1,"2015, September",165 g (5.82 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~68.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Quad-core 1.3 GHz Cortex-A53,"8 GB, 1 GB RAM16 GB, 2 GB RAM","8 GB, 1 GB RAM16 GB, 2 GB RAM","8 MP, AF",8 MP,"4.0, A2DP",Removable Li-Ion 4000 mAh battery,About 200 EUR
16,Acer Liquid Z530,1,"2015, September",145 g (5.11 oz),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.3 GHz Cortex-A53,"8 GB, 1 GB RAM16 GB, 2 GB RAM","8 GB, 1 GB RAM16 GB, 2 GB RAM","8 MP, AF",8 MP,"4.0, A2DP",Removable Li-Ion 2420 mAh battery,About 150 EUR
19,Acer Iconia Tab 10 A3-A30,0,"2015, April",540 g (1.19 lb),"LED-backlit IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~64.6% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Quad-core 1.33 GHz,"16/32/64 GB, 2 GB RAM","16/32/64 GB, 2 GB RAM",5 MP,2 MP,"4.0, A2DP",Non-removable Li-Ion 5910 mAh battery (22 Wh),About 250 EUR
20,Acer Iconia One 8 B1-820,0,"2015, April",355 g (12.52 oz),IPS LCD capacitive touchscreen,"8.0 inches, 185.6 cm2 (~67.9% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",Quad-core 1.33 GHz,"16/32 GB, 1 GB RAM","16/32 GB, 1 GB RAM",5 MP,VGA,"4.0, A2DP",Non-removable Li-Ion 4550 mAh battery (17.2 Wh),About 180 EUR
21,Acer Iconia Tab A3-A20,0,"2014, October",508 g (1.12 lb),"LED-backlit IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~67.8% screen-to-body ratio)","1280 x 800 pixels, 16:10 ratio (~149 ppi density)",Quad-core 1.3 GHz Cortex-A7,"16 GB, 1 GB RAM","16 GB, 1 GB RAM","5 MP, AF",2 MP,"4.0, A2DP",Non-removable Li-Po 5910 mAh battery (A3-A20-K1AY),About 190 EUR
22,Acer Iconia Tab A3-A20FHD,0,"2014, October",508 g (1.12 lb),"LED-backlit IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~67.8% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Quad-core 1.5 GHz Cortex-A7,"32 GB, 2 GB RAM","32 GB, 2 GB RAM","5 MP, AF",2 MP,"4.0, A2DP",Non-removable Li-Po 5910 mAh battery (A3-A20FHD-K8KX),About 230 EUR
23,Acer Liquid Jade Z,1,"2015, March",110 g (3.88 oz),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.5 GHz Cortex-A53,"8 GB, 1 GB RAM - Liquid Jade Z16 GB, 2 GB RAM - Liquid Jade Z Plus","8 GB, 1 GB RAM - Liquid Jade Z16 GB, 2 GB RAM - Liquid Jade Z Plus","13 MP, AF, f/1.8",5 MP,"4.0, A2DP, EDR",Non-removable Li-Po 2300 mAh battery,About 200 EUR
24,Acer Liquid Z520,0,"2015, March",118 g (4.16 oz),TFT capacitive touchscreen,"5.0 inches, 75.7 cm2 (~57.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~187 ppi density)",Quad-core 1.3 GHz Cortex-A7,"8 GB, 1 GB RAM16 GB, 2 GB RAM","8 GB, 1 GB RAM16 GB, 2 GB RAM","8 MP, AF",2 MP,"4.0, A2DP",Removable Li-Po 2000 mAh battery,About 130 EUR
25,Acer Liquid Z220,0,"2015, March",120 g (4.23 oz),Capacitive touchscreen,"4.0 inches, 45.5 cm2 (~56.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Dual-core 1.2 GHz Cortex-A7,"8 GB, 1 GB RAM","8 GB, 1 GB RAM","5 MP, AF",2 MP,"4.0, A2DP",Removable Li-Ion 1300 mAh battery,About 90 EUR
26,Acer Liquid M220,0,"2015, March",119 g (4.20 oz),TFT capacitive touchscreen,"4.0 inches, 45.5 cm2 (~57.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Dual-core 1.2 GHz Cortex-A7,"4 GB, 512 MB RAM - Liquid M2208 GB, 1 GB RAM - Liquid M220 Plus","4 GB, 512 MB RAM - Liquid M2208 GB, 1 GB RAM - Liquid M220 Plus","5 MP, AF",2 MP,"4.0, A2DP",Removable Li-Ion 1300 mAh battery,About 80 EUR
27,Acer Liquid Z410,1,"2015, January",145 g (5.11 oz),"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~61.5% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Quad-core 1.3 GHz Cortex-A53,"8 GB, 1 GB RAM16 GB, 2 GB RAM","8 GB, 1 GB RAM16 GB, 2 GB RAM","5 MP, AF",2 MP,"4.0, A2DP",Removable Li-Po 2000 mAh battery,About 130 EUR
28,Acer Liquid Jade S,1,"2014, December",116 g (4.09 oz),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~69.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Octa-core 1.5 GHz Cortex-A53,"16 GB, 2 GB RAM","16 GB, 2 GB RAM","13 MP, AF, f/1.8","5 MP, f/2.2","4.0, A2DP, EDR",Non-removable Li-Ion 2300 mAh battery,About 200 EUR
29,Acer Liquid Z500,0,"2014, September",150 g (5.29 oz),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.3 GHz Cortex-A7,"4 GB, 1 GB RAM16 GB, 2 GB RAM","4 GB, 1 GB RAM16 GB, 2 GB RAM","8 MP, AF",2 MP,"4.0, A2DP, EDR",Non-removable Li-Ion 2000 mAh battery,About 150 EUR
30,Acer Liquid X1,1,"2014, June",164 g (5.78 oz),"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm2 (~72.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~258 ppi density)",Octa-core 1.7 GHz Cortex-A7,"16 GB, 2 GB RAM","16 GB, 2 GB RAM","13 MP, AF",2 MP,"4.0, A2DP",Removable Li-Ion 2700 mAh battery,About 260 EUR
31,Acer Liquid Jade,0,"2014, June",110 g (3.88 oz),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~71.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.3 GHz Cortex-A7,"8 GB, 1 GB RAM - Liquid Jade16 GB, 2 GB RAM - Liquid Jade Plus","8 GB, 1 GB RAM - Liquid Jade16 GB, 2 GB RAM - Liquid Jade Plus","13 MP, AF",2 MP,"4.0, A2DP",Non-removable Li-Ion 2100 mAh battery,About 180 EUR
32,Acer Liquid E700,0,"2014, June",155 g (5.47 oz),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.2 GHz Cortex-A7,"16 GB, 2 GB RAM or 4 GB, 1 GB RAM","16 GB, 2 GB RAM or 4 GB, 1 GB RAM","8 MP, AF",2 MP,"4.0, A2DP",Non-removable Li-Ion 3500 mAh battery,About 200 EUR
33,Acer Liquid E600,1,"2014, June",155 g (5.47 oz),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Quad-core 1.2 GHz Cortex-A7,"4 GB, 1 GB RAM16 GB, 2 GB RAM","4 GB, 1 GB RAM16 GB, 2 GB RAM","8 MP, AF",2 MP or VGA,"4.0, A2DP",Non-removable Li-Ion 2500 mAh battery,About 200 EUR
34,Acer Liquid Z200,0,"2014, June",130 g (4.59 oz),TFT capacitive touchscreen,"4.0 inches, 45.5 cm2 (~55.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Dual-core 1.0 GHz Cortex-A7,"4 GB, 512 MB RAM","4 GB, 512 MB RAM",2 MP,No,"4.0, A2DP",Removable Li-Ion 1300 mAh battery,About 90 EUR
35,Acer Iconia Tab 8 A1-840FHD,0,"2014, June",360 g (12.70 oz),"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~66.4% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~283 ppi density)",Quad-core 1.86 GHz,"16/32 GB, 2 GB RAM","16/32 GB, 2 GB RAM",5 MP,2 MP,"4.0, A2DP",Non-removable Li-Ion 4600 mAh battery,About 200 EUR
36,Acer Iconia Tab 7 A1-713HD,0,"2014, April",298 g (10.51 oz),IPS LCD capacitive touchscreen,"7.0 inches, 142.1 cm2 (~66.4% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Quad-core,"16 GB, 1 GB RAM","16 GB, 1 GB RAM",5 MP,Yes,"4.0, A2DP",Non-removable Li-Ion 3400 mAh battery,About 150 EUR
37,Acer Iconia Tab 7 A1-713,0,"2014, April",298 g (10.51 oz),TFT capacitive touchscreen,"7.0 inches, 137.9 cm2 (~64.5% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Quad-core,"16 GB, 1 GB RAM","16 GB, 1 GB RAM",2 MP,Yes,"4.0, A2DP",Non-removable Li-Ion 3400 mAh battery,About 110 EUR
38,Acer Iconia One 7 B1-730,0,"2014, April",-,IPS LCD capacitive touchscreen,"7.0 inches, 142.1 cm2 (~66.4% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Dual-core 1.6 GHz,"8 GB, 1 GB RAM","8 GB, 1 GB RAM",5 MP,Yes,"4.0, A2DP",Non-removable Li-Ion 3700 mAh battery,About 90 EUR
39,Acer Liquid E3 Duo Plus,0,"2014, Q3",-,"IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~64.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Quad-core 1.2 GHz Cortex-A7,"16 GB, 2 GB RAM","16 GB, 2 GB RAM","13 MP, AF",2 MP,"4.0, A2DP",Non-removable Li-Ion 2000 mAh battery,About 240 EUR
40,alcatel 7,1,"2018, August",175 g (6.17 oz),"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 93.8 cm2 (~77.1% screen-to-body ratio)","1080 x 2180 pixels, 18:9 ratio (~402 ppi density)",Octa-core 2.5 GHz Cortex-A53,"32 GB, 2 RAM","32 GB, 2 RAM","12 MP, f/2.2, 27mm (wide), 1/2.8"", 1.25 m, PDAF
2 MP, f/2.4, 1/5"", 1.75 m, depth sensor","8 MP, f/2.8, 1/4"", 1.12 m","4.0, A2DP, LE",Non-removable Li-Ion 4000 mAh battery,About 180 USD
41,alcatel 5v,0,"2018, July",158 g (5.57 oz),"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.7 cm2 (~84.5% screen-to-body ratio)",720 x 1500 pixels (~268 ppi density),Octa-core 2.0 GHz Cortex-A53,"32 GB, 3 RAM","32 GB, 3 RAM","12 MP, f/2.2, 1/2.8"", 1.25 m, PDAF
2 MP, f/2.4, 1/5"", 1.75 m, depth sensor","8 MP, f/2.8, 1/4"", 1.12 m","4.0, A2DP, LE",Non-removable Li-Ion 4000 mAh battery,About 180 EUR
42,alcatel 5,1,"2018, February",144 g (5.08 oz),"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~77.4% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"32 GB, 3 GB RAM (5086D/Y) or 16 GB, 2 GB RAM (5086A)","32 GB, 3 GB RAM (5086D/Y) or 16 GB, 2 GB RAM (5086A)","12 MP, f/2.2, 1/2.9"", 1.25m, AF","13 MP, f/2.0, 1.4 m
5 MP, depth sensor","4.2, A2DP, LE",Non-removable Li-Ion 3000 mAh battery,About 230 EUR
43,alcatel 3v,1,"2018, February",155 g (5.47 oz),"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~75.5% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Quad-core 1.45 GHz Cortex-A53,"16/32 GB, 2 GB RAM","16/32 GB, 2 GB RAM","12 MP, f/2.2, 1/2.8"", 1.25 m, PDAF
2 MP, f/2.4, 1/5"", depth sensor",5 MP,"4.2, A2DP, LE",Non-removable Li-Ion 3000 mAh battery,About 160 EUR
45,alcatel 3,1,"2018, February",145 g (5.11 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 78.1 cm2 (~77.1% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",Quad-core 1.3 GHz Cortex-A53,"16 GB, 2 GB RAM","16 GB, 2 GB RAM","13 MP, f/2.0, 1/3"", 1.12m, PDAF",5 MP,"4.2, A2DP, LE",Non-removable Li-Ion 3000 mAh battery,About 170 EUR
46,alcatel 1x,1,"2018, February",151 g (5.33 oz),"IPS LCD capacitive touchscreen, 16M colors","5.3 inches, 72.5 cm2 (~69.6% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~203 ppi density)",Quad-core 1.3 GHz Cortex-A53,"16 GB, 1 GB RAM or 2 GB RAM (5059D only)","16 GB, 1 GB RAM or 2 GB RAM (5059D only)","8 MP, f/2.0, 1/4"", 1.12m, AF
13 MP (5059D only)",5 MP,"4.2, A2DP, LE",Li-Ion 2460 mAh battery,About 100 EUR
47,alcatel 3c,1,"2018, January",169 g (5.96 oz),"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~75.9% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",Quad-core 1.3 GHz Cortex-A7,"16 GB, 1 GB RAM","16 GB, 1 GB RAM","8 MP, AF",5 MP,"4.2, A2DP, LE",Non-removable Li-Ion 3000 mAh battery,About 130 EUR
48,alcatel 1T 10,0,"2018, February",415 g (14.64 oz),"TFT capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~74.8% screen-to-body ratio)","1280 x 800 pixels, 16:10 ratio (~149 ppi density)",Quad-core 1.3 GHz Cortex-A7,"16 GB, 1 GB RAM","16 GB, 1 GB RAM",2 MP,2 MP,"4.2, A2DP",Non-removable Li-Ion 4000 mAh battery,About 100 EUR
49,alcatel 1T 7,0,"2018, February",245 g (8.64 oz),"TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~65.6% screen-to-body ratio)","1024 x 600 pixels, 16:9 ratio (~170 ppi density)",Quad-core 1.3 GHz Cortex-A7,"8 GB, 1 GB RAM","8 GB, 1 GB RAM",2 MP,VGA,"4.2, A2DP",Non-removable Li-Ion 2580 mAh battery,About 70 EUR
50,alcatel Idol 5s,1,"2017, September",147 g (5.19 oz),"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~69.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Octa-core (4x2.35 GHz Cortex-A53 & 4x1.65 GHz Cortex-A53),"32 GB, 3 GB RAM","32 GB, 3 GB RAM","12 MP, f/2.0, 1/2.8"", 1.25m, PDAF","8 MP, f/2.0, 1/3.2"", 1.4m","4.2, A2DP, LE",Non-removable Li-Ion 2850 mAh battery,About 140 EUR
51,alcatel Idol 5,1,"2017, September",155 g (5.47 oz),"LTPS IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.9 cm2 (~69.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~423 ppi density)",Quad-core 1.3 GHz Cortex-A53,"16 GB, 3 GB RAM","16 GB, 3 GB RAM","13 MP, f/2.0, 1/3"", 1.12m, PDAF","5 MP, f/2.4, 1/5"", 1.12m","4.2, A2DP, LE",Non-removable Li-Ion 2800 mAh battery,About 120 EUR
52,alcatel A7 XL,1,"2017, September",175 g (6.17 oz),"LTPS IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~76.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"32 GB, 3 GB RAM","32 GB, 3 GB RAM","12 MP, PDAF
2 MP, depth sensor",5 MP,"4.2, A2DP, LE",Non-removable Li-Ion 4000 mAh battery,About 260 EUR
53,alcatel A7,1,"2017, September",164 (5.78 oz),"LTPS IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"32 GB, 3 GB RAM","32 GB, 3 GB RAM","16 MP, f/2.0, 1/3"", PDAF",8 MP,"4.2, A2DP, LE",Non-removable Li-Ion 4000 mAh battery,About 190 EUR
55,alcatel Pulsemix,1,"2017, August",145.7 (5.15 oz),"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~71.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",Quad-core 1.5 GHz Cortex-A53,"16 GB, 2 GB RAM","16 GB, 2 GB RAM","8 MP, AF, f/2.0",2 MP,"4.2, A2DP, LE",Non-removable Li-Ion 2800 mAh battery,About 80 USD
56,alcatel Idol 5s (USA),1,"2017, June",148.8 g (5.26 oz),"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~70.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Octa-core 2.0 GHz Cortex-A53,"32 GB, 3 GB RAM","32 GB, 3 GB RAM","12 MP, f/2.0, 1/2.8"", 1.25m, PDAF","8 MP, f/2.0, 1/3.2"", 1.4m","4.2, A2DP, LE",Non-removable Li-Ion 2620 mAh battery,About 250 USD
58,alcatel U5,1,"2017, February",-,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Quad-core 1.1 GHz Cortex-A53,"8 GB, 1 GB RAM","8 GB, 1 GB RAM",5 MP,2 MP,"4.2, A2DP, LE",Non-removable Li-Ion 2050 mAh battery,About 100 EUR
59,alcatel A5 LED,1,"2017, February",-,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~70.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",Octa-core 1.3 GHz Cortex-A53,"32 GB, 3 GB RAM or 16 GB, 2 GB RAM","32 GB, 3 GB RAM or 16 GB, 2 GB RAM","8 MP, AF, f/2.0",5 MP,"4.2, A2DP, LE",Non-removable Li-Ion 2800 mAh battery,About 200 EUR
60,alcatel A3,1,"2017, February",-,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.25 GHz Cortex-A53,"16 GB, 1.5 GB RAM","16 GB, 1.5 GB RAM","13 MP, AF, f/2.0",5 MP,"4.2, A2DP, LE",Non-removable Li-Ion 2460 mAh battery,About 150 EUR
61,alcatel A3 XL,1,"2017, January",-,"IPS FL LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~72.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",Quad-core 1.1 GHz Cortex-A7,"8/16 GB, 2 GB RAM","8/16 GB, 2 GB RAM","8 MP or 13 MP, AF",5 MP or 8 MP,"4.2, A2DP, LE",Non-removable Li-Ion 3000 mAh battery,About 180 EUR
62,alcatel Shine Lite,1,"2016, September",156 g (5.50 oz),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.3 GHz Cortex-A53,"16 GB, 2 GB RAM","16 GB, 2 GB RAM","13 MP, AF",5 MP,"4.2, A2DP, LE",Non-removable Li-Ion 2460 mAh battery,About 200 EUR
64,alcatel Fierce 4,1,"2016, August",163.9 g (5.78 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Quad-core 1.1 GHz Cortex-A7,"16 GB, 2 GB RAM","16 GB, 2 GB RAM","8 MP, AF",5 MP,"4.1, A2DP, LE",Non-removable Li-Ion 2500 mAh battery,About 80 EUR
65,alcatel X1,1,"2015, December",140 g (4.94 oz),"Super AMOLED capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Octa-core (4x1.4 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"16 GB, 2 GB RAM","16 GB, 2 GB RAM","13 MP, f/2.2, 1/3"", 1.12m, AF","5 MP, f/2.0, 1/4"", 1.4m","4.0, A2DP",Non-removable Li-Po 2150 mAh battery,About 200 EUR
66,alcatel Pixi 4 (5),0,"2016, June",148 g (5.22 oz),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Quad-core 1.3 GHz,"8 GB, 1 GB RAM","8 GB, 1 GB RAM","8 MP, AF",5 MP,"4.0, A2DP",Removable Li-Ion 2000 mAh battery,About 60 EUR
